index,fas_code,enrollment
512,FAS-218232-2218-1-1-001,37
513,FAS-109501-2218-1-1-001,53
514,FAS-205088-2218-1-1-001,47
515,FAS-215875-2218-1-1-001,59
516,FAS-202992-2218-1-1-001,47
517,FAS-113501-2218-1-1-001,302
518,FAS-212849-2218-1-1-001,39
519,FAS-125932-2218-1-1-001,129
520,FAS-205412-2218-1-1-001,93
521,FAS-121778-2218-1-1-001,265
522,FAS-119025-2218-1-1-001,77
523,FAS-124127-2218-1-1-001,187
524,FAS-125216-2218-1-1-001,93
525,FAS-126633-2218-1-1-001,167
526,FAS-112430-2218-1-1-001,62
527,FAS-126638-2218-1-1-001,113
528,FAS-112378-2218-1-1-001,102
529,FAS-218236-2218-1-1-001,43
530,FAS-108405-2218-1-1-001,138
531,FAS-107821-2218-1-1-001,162
532,FAS-108482-2218-1-1-001,59
533,FAS-142451-2218-1-1-001,52
534,FAS-215897-2218-1-1-001,44
535,FAS-159550-2218-1-1-001,56
536,FAS-126205-2218-1-1-001,74
537,FAS-218234-2218-1-1-001,68
538,FAS-118775-2218-1-1-001,30
539,FAS-218475-2218-1-1-001,78
540,FAS-159710-2218-1-1-1,11
541,FAS-111796-2218-1-1-001,7
542,FAS-112218-2218-1-1-001,36
543,FAS-203214-2218-1-1-001,5
544,FAS-117853-2218-1-1-001,208
545,FAS-216336-2218-1-1-001,21
546,FAS-218347-2218-1-1-1,7
547,FAS-111813-2218-1-1-001,52
548,FAS-217866-2218-1-1-001,17
549,FAS-213436-2218-1-1-001,8
550,FAS-218269-2218-1-1-001,15
551,FAS-125573-2218-1-1-001,15
552,FAS-218265-2218-1-1-001,13
553,FAS-109731-2218-1-1-001,13
554,FAS-108915-2218-1-1-001,16
555,FAS-218732-2218-1-1-001,11
556,FAS-214573-2218-1-1-001,18
557,FAS-218598-2218-1-1-001,8
558,FAS-203474-2218-1-1-001,11
559,FAS-109733-2218-1-1-001,13
560,FAS-128009-2218-1-1-001,9
561,FAS-218734-2218-1-1-001,9
562,FAS-205265-2218-1-1-001,13
563,FAS-218270-2218-1-1-001,11
564,FAS-119479-2218-1-1-001,23
565,FAS-122850-2218-1-1-001,25
566,FAS-218528-2218-1-1-001,13
567,FAS-204038-2218-1-1-001,11
568,FAS-207780-2218-1-1-001,15
569,FAS-127064-2218-1-1-001,11
570,FAS-156108-2218-1-1-001,30
571,FAS-114754-2218-1-1-001,54
572,FAS-121735-2218-1-1-001,17
573,FAS-109554-2218-1-1-001,17
574,FAS-111162-2218-1-1-001,17
