fas_code,enrollment,course_code
FAS-218369-2218-1-1-001,14,FRSEMR 64H
FAS-218483-2218-1-1-001,6,FRSEMR 64L
FAS-218485-2218-1-1-001,12,FRSEMR 64M
FAS-218680-2218-1-1-1,11,FRSEMR 64Q
FAS-203013-2218-1-1-001,15,FRSEMR 70J
FAS-203011-2218-1-1-001,15,FRSEMR 70H
FAS-203014-2218-1-1-001,15,FRSEMR 70K
FAS-207507-2218-1-1-001,12,FRSEMR 71G
FAS-212698-2218-1-1-001,11,FRSEMR 71R
FAS-218479-2218-1-1-001,10,FRSEMR 72M
FAS-212785-2218-1-1-001,11,FRSEMR 71Y
FAS-207777-2218-1-1-001,14,FRSEMR 71O
FAS-218503-2218-1-1-001,13,FRSEMR 72O
FAS-218514-2218-1-1-001,15,FRSEMR 72P
FAS-125195-2218-1-1-001,99,GENED 1004
FAS-203045-2218-1-1-001,58,GENED 1002
FAS-212765-2218-1-1-001,211,GENED 1001
FAS-215876-2218-1-1-001,154,GENED 1006
FAS-107464-2218-1-1-001,66,GENED 1011
FAS-118517-2218-1-1-001,14,GENED 1018
FAS-118290-2218-1-1-001,49,GENED 1019
FAS-107669-2218-1-1-001,81,GENED 1033
FAS-204966-2218-1-1-001,211,GENED 1023
FAS-212896-2218-1-1-001,801,GENED 1038
FAS-212840-2218-1-1-001,44,GENED 1034
FAS-218232-2218-1-1-001,37,GENED 1041
FAS-109501-2218-1-1-001,53,GENED 1043
FAS-205088-2218-1-1-001,47,GENED 1044
FAS-215875-2218-1-1-001,59,GENED 1053
FAS-202992-2218-1-1-001,47,GENED 1056
FAS-113501-2218-1-1-001,302,GENED 1074
FAS-212849-2218-1-1-001,39,GENED 1071
FAS-125932-2218-1-1-001,129,GENED 1079
FAS-205412-2218-1-1-001,93,GENED 1080
